# x y z exact_flux predicted_flux abs_error
1.7319599811979244e-01 4.8405038768943259e-01 8.5772861000027212e-01 2.4623049887979573e+00 2.4623049887979573e+00 0.0000000000000000e+00
1.2491677727283070e-01 4.9869572922050487e-01 8.5772861000027212e-01 2.5006370875468900e+00 2.5006370875468900e+00 0.0000000000000000e+00
7.5434539574274886e-02 5.0853835826436755e-01 8.5772861000027212e-01 2.5103698226064473e+00 2.5103698226064473e+00 0.0000000000000000e+00
2.5225826022904952e-02 5.1348348492279983e-01 8.5772861000027212e-01 2.4939738899241544e+00 2.4939738899241544e+00 0.0000000000000000e+00
5.9498175859162383e-01 2.9229579469904138e-02 8.0320753148064494e-01 1.1901202415462017e-01 1.1901202415462017e-01 0.0000000000000000e+00
5.8925175900627258e-01 8.7407241580903752e-02 8.0320753148064494e-01 3.7861834246280568e-01 3.7861834246280573e-01 5.5511151231257827e-17
5.7784694286391336e-01 1.4474312417382063e-01 8.0320753148064494e-01 6.6122270363736746e-01 6.6122270363736746e-01 0.0000000000000000e+00
5.6087714477850381e-01 2.0068505135630332e-01 8.0320753148064494e-01 9.5811225786041043e-01 9.5811225786041043e-01 0.0000000000000000e+00
5.3850579318224168e-01 2.5469427178861642e-01 8.0320753148064494e-01 1.2592101123621107e+00 1.2592101123621109e+00 2.2204460492503131e-16
5.1094833642042370e-01 3.0625064715355355e-01 8.0320753148064494e-01 1.5539357849359261e+00 1.5539357849359261e+00 0.0000000000000000e+00
4.7847016786610447e-01 3.5485766137276881e-01 8.0320753148064494e-01 1.8320895320539670e+00 1.8320895320539672e+00 2.2204460492503131e-16
4.4138407003683494e-01 4.0004720232803426e-01 8.0320753148064494e-01 2.0846512858096644e+00 2.0846512858096640e+00 4.4408920985006262e-16
4.0004720232803426e-01 4.4138407003683494e-01 8.0320753148064494e-01 2.3044038512359011e+00 2.3044038512359011e+00 0.0000000000000000e+00
3.5485766137276892e-01 4.7847016786610441e-01 8.0320753148064494e-01 2.4863213579274737e+00 2.4863213579274737e+00 0.0000000000000000e+00
3.0625064715355355e-01 5.1094833642042370e-01 8.0320753148064494e-01 2.6277011215509640e+00 2.6277011215509640e+00 0.0000000000000000e+00
2.5469427178861648e-01 5.3850579318224168e-01 8.0320753148064494e-01 2.7280531353252018e+00 2.7280531353252018e+00 0.0000000000000000e+00
2.0068505135630332e-01 5.6087714477850381e-01 8.0320753148064494e-01 2.7887906307254076e+00 2.7887906307254076e+00 0.0000000000000000e+00
1.4474312417382068e-01 5.7784694286391336e-01 8.0320753148064494e-01 2.8127839254295601e+00 2.8127839254295606e+00 4.4408920985006262e-16
