# x y z u
6.9066175332195578e-01 6.2597932487315511e-01 3.3352095485829786e-01 2.0126181400690655e+00
6.2597932487315511e-01 6.9066175332195578e-01 3.3352095485829786e-01 2.2311491925165896e+00
5.5526837333071888e-01 7.4869273153214644e-01 3.3352095485829786e-01 2.4082036335674095e+00
4.7920988381253826e-01 7.9951338946060369e-01 3.3352095485829786e-01 2.5406157913543375e+00
3.9853634115047365e-01 8.4263429639007847e-01 3.3352095485829786e-01 2.6279644206467978e+00
3.1402467566100456e-01 8.7764017441455489e-01 3.3352095485829786e-01 2.6722520128150555e+00
2.2648878088157071e-01 9.0419389779249737e-01 3.3352095485829786e-01 2.6773889750790367e+00
1.3677167533088536e-01 9.2203973965203490e-01 3.3352095485829786e-01 2.6485403813011588e+00
4.5737383779760672e-02 9.3100583478053034e-01 3.3352095485829786e-01 2.5914116011065182e+00
9.5917417998704246e-01 4.7121205842975376e-02 2.4055037810423133e-01 9.5002747518725977e-02
9.4993680829582439e-01 1.4090981455758692e-01 2.4055037810423133e-01 3.3188945084359411e-01
9.3155102585243565e-01 2.3334138472886881e-01 2.4055037810423133e-01 6.0527141083312219e-01
9.0419389779249737e-01 3.2352574980783561e-01 2.4055037810423133e-01 9.0430225949707888e-01
8.6812888821415379e-01 4.1059438505898799e-01 2.4055037810423133e-01 1.2151129214689880e+00
8.2370332287478443e-01 4.9370877192829982e-01 2.4055037810423133e-01 1.5231223683765207e+00
7.7134504425409145e-01 5.7206847343527423e-01 2.4055037810423133e-01 1.8145591366738731e+00
7.1155829119713876e-01 6.4491884281862866e-01 2.4055037810423133e-01 2.0774930324411249e+00
6.4491884281862866e-01 7.1155829119713876e-01 2.4055037810423133e-01 2.3025433493695355e+00
5.7206847343527434e-01 7.7134504425409134e-01 2.4055037810423133e-01 2.4832912511536733e+00
4.9370877192829982e-01 8.2370332287478443e-01 2.4055037810423133e-01 2.6164289356030110e+00
4.1059438505898810e-01 8.6812888821415379e-01 2.4055037810423133e-01 2.7016640831727408e+00
3.2352574980783561e-01 9.0419389779249737e-01 2.4055037810423133e-01 2.7413824053869829e+00
2.3334138472886892e-01 9.3155102585243565e-01 2.4055037810423133e-01 2.7400902598587935e+00
1.4090981455758692e-01 9.4993680829582439e-01 2.4055037810423133e-01 2.7036859061968217e+00
4.7121205842975487e-02 9.5917417998704246e-01 2.4055037810423133e-01 2.6386320669120065e+00
9.7810515350233651e-01 4.8051224934850999e-02 1.4526316971080813e-01 9.5192370510649549e-02
9.6868546618744344e-01 1.4369091524095887e-01 1.4526316971080813e-01 3.3497384321135937e-01
9.4993680829582439e-01 2.3794678348385193e-01 1.4526316971080813e-01 6.1343707623319899e-01
9.2203973965203490e-01 3.2991109412685232e-01 1.4526316971080813e-01 9.1925956734387682e-01
8.8526292427720332e-01 4.1869818058566199e-01 1.4526316971080813e-01 1.2378160261890518e+00
8.3996054300764178e-01 5.0345297468172390e-01 1.4526316971080813e-01 1.5537160496775375e+00
7.8656888253977675e-01 5.8335924141620987e-01 1.4526316971080813e-01 1.8524443693508164e+00
7.2560213375076443e-01 6.5764743975925788e-01 1.4526316971080813e-01 2.1214583337692963e+00
6.5764743975925788e-01 7.2560213375076443e-01 1.4526316971080813e-01 2.3509286844353006e+00
5.8335924141620998e-01 7.8656888253977675e-01 1.4526316971080813e-01 2.5341579706719028e+00
5.0345297468172390e-01 8.3996054300764178e-01 1.4526316971080813e-01 2.6677295243559662e+00
4.1869818058566205e-01 8.8526292427720332e-01 1.4526316971080813e-01 2.7514169012297796e+00
3.2991109412685232e-01 9.2203973965203490e-01 1.4526316971080813e-01 2.7878502385531729e+00
2.3794678348385204e-01 9.4993680829582439e-01 1.4526316971080813e-01 2.7819464739311184e+00
1.4369091524095887e-01 9.6868546618744344e-01 1.4526316971080813e-01 2.7401360726216106e+00
4.8051224934851103e-02 9.7810515350233651e-01 1.4526316971080813e-01 2.6694498201854495e+00
9.8761643970273749e-01 4.8518484463132498e-02 4.8576997584143945e-02 9.5116897030432870e-02
9.7810515350233662e-01 1.4508819386111599e-01 4.8576997584143945e-02 3.3644019126305086e-01
9.5917417998704246e-01 2.4026062463894235e-01 4.8576997584143945e-02 6.1753967034974433e-01
9.3100583478053034e-01 3.3311921426167834e-01 4.8576997584143945e-02 9.2683454962824974e-01
8.9387139444552277e-01 4.2276968374958829e-01 4.8576997584143945e-02 1.2493042536262500e+00
8.4812848394219575e-01 5.0834865007357188e-01 4.8576997584143945e-02 1.5691527199889292e+00
7.9421763250431476e-01 5.8903194100570766e-01 4.8576997584143945e-02 1.8715071953859510e+00
7.3265803110189587e-01 6.6404253234834554e-01 4.8576997584143945e-02 2.1435446889746399e+00
6.6404253234834554e-01 7.3265803110189587e-01 4.8576997584143945e-02 2.3752392239684696e+00
5.8903194100570777e-01 7.9421763250431465e-01 4.8576997584143945e-02 2.5597668005994860e+00
5.0834865007357188e-01 8.4812848394219575e-01 4.8576997584143945e-02 2.6936437442960917e+00
4.2276968374958840e-01 8.9387139444552277e-01 4.8576997584143945e-02 2.7766441161906408e+00
3.3311921426167834e-01 9.3100583478053034e-01 4.8576997584143945e-02 2.8114859964387859e+00
2.4026062463894246e-01 9.5917417998704246e-01 4.8576997584143945e-02 2.8032743650931495e+00
1.4508819386111599e-01 9.7810515350233662e-01 4.8576997584143945e-02 2.7587146622009948e+00
4.8518484463132609e-02 9.8761643970273749e-01 4.8576997584143945e-02 2.6851503714663085e+00
4.7881373050990356e-02 2.3522610206318209e-03 9.7582316071245345e-01 -1.0454193789994611e-03
4.7420249253888304e-02 7.0341295023901044e-03 9.7582316071245345e-01 1.2790878256666716e-02
4.6502442533926207e-02 1.1648255471794043e-02 9.7582316071245345e-01 2.6480421602867114e-02
4.5136791871541487e-02 1.6150202373420450e-02 9.7582316071245345e-01 3.9901079773779644e-02
4.3336449229153501e-02 2.0496613997592148e-02 9.7582316071245345e-01 5.2910312456220382e-02
4.1118752890575837e-02 2.4645632024378080e-02 9.7582316071245345e-01 6.5356135932209417e-02
3.8505060483865143e-02 2.8557299142096343e-02 9.7582316071245345e-01 7.7101322043285861e-02
3.5520543295687643e-02 3.2193943858068536e-02 9.7582316071245345e-01 8.8036781831347791e-02
3.2193943858068536e-02 3.5520543295687643e-02 9.7582316071245345e-01 9.8071462140727109e-02
2.8557299142096350e-02 3.8505060483865136e-02 9.7582316071245345e-01 1.0711098671895342e-01
2.4645632024378080e-02 4.1118752890575837e-02 9.7582316071245345e-01 1.1504913086299769e-01
2.0496613997592152e-02 4.3336449229153501e-02 9.7582316071245345e-01 1.2178249781485231e-01
1.6150202373420450e-02 4.5136791871541487e-02 9.7582316071245345e-01 1.2723403419526780e-01
1.1648255471794048e-02 4.6502442533926207e-02 9.7582316071245345e-01 1.3136146473529908e-01
7.0341295023901044e-03 4.7420249253888304e-02 9.7582316071245345e-01 1.3414263126478068e-01
2.3522610206318266e-03 4.7881373050990356e-02 9.7582316071245345e-01 1.3555388211146829e-01
1.4318299535586901e-01 7.0341295023901036e-03 9.6642545023559101e-01 1.2589676808143681e-02
1.4180406483880487e-01 2.1034645994815967e-02 9.6642545023559101e-01 5.4093142192052267e-02
1.3905948365935597e-01 3.4832587347604589e-02 9.6642545023559101e-01 9.5448659195424362e-02
1.3497568363462117e-01 4.8295071842806639e-02 9.6642545023559101e-01 1.3618982030241619e-01
1.2959199399127080e-01 6.1292448395390678e-02 9.6642545023559101e-01 1.7589192234024550e-01
1.2296026260359447e-01 7.3699545164066557e-02 9.6642545023559101e-01 2.1409270495117774e-01
1.1514435667012861e-01 8.5396875024542962e-02 9.6642545023559101e-01 2.5036990160197031e-01
1.0621954763762131e-01 9.6271786295852507e-02 9.6642545023559101e-01 2.8428979661233761e-01
9.6271786295852507e-02 1.0621954763762131e-01 9.6642545023559101e-01 3.1546984072242201e-01
8.5396875024542976e-02 1.1514435667012859e-01 9.6642545023559101e-01 3.4352927799543037e-01
7.3699545164066557e-02 1.2296026260359447e-01 9.6642545023559101e-01 3.6815900728247142e-01
6.1292448395390692e-02 1.2959199399127080e-01 9.6642545023559101e-01 3.8904949137604411e-01
4.8295071842806639e-02 1.3497568363462117e-01 9.6642545023559101e-01 4.0599405898437946e-01
3.4832587347604610e-02 1.3905948365935597e-01 9.6642545023559101e-01 4.1876090044093878e-01
2.1034645994815967e-02 1.4180406483880487e-01 9.6642545023559101e-01 4.2727143829818176e-01
7.0341295023901200e-03 1.4318299535586901e-01 9.6642545023559101e-01 4.3136035390082178e-01
2.3710568714368352e-01 1.1648255471794043e-02 9.4772053437106940e-01 2.5744883172581050e-02
2.3482222976133671e-01 3.4832587347604596e-02 9.4772053437106940e-01 9.4286538476241244e-02
2.3027730593949983e-01 5.7681462365828558e-02 9.4772053437106940e-01 1.6312287406716994e-01
